"SampleID","Shannon"
"001M03BM",3.0238284738576
"002M02BM",2.96043249706257
"003M03BM",3.25634160605286
"004M02BM",3.44763498975595
"005M03BM",2.70794414863851
"006M03BM",2.28262797436812
"007M02BM",1.84051943458201
"008M03BM",2.62663377571695
"011M03BM",1.35839897767651
"013M03BM",2.4014474461169
"014M03BM",2.6488841948084
"016M02BM",1.12596501076713
"017M03BM",1.30547491003194
"019M02BM",1.57542506205255
"020M02BM",1.79997746492394
"021M03BM",2.84729609393206
"022M02BM",2.73388566647018
"023M03BM",1.94317714387494
"027M02BM",2.28057885159877
"028M03BM",2.07854729422121
"029M03BM",2.00541034204104
"030M03BM",2.34078781597103
"031M03BM",1.91164741413794
"032M03BM",1.09191228057937
"033M02BM",2.81043544155748
"035M03BM",2.24172706491096
"036M03BM",3.01876983153423
"038M03BM",1.47115142200244
"039M02BM",2.15241310809443
"041M02BM",1.22595151008437
"044M03BM",1.65186152870269
"045M03BM",2.37732281808478
"046M03BM",2.183843817822
"047M03BM",3.28041346224116
"052M03BM",2.52308087482733
"055M02BM",3.02819004720641
"062M03BM",2.15545284403163
"102M02BM",1.09453594512917
"104M02BM",1.75442924387507
"105M02BM",2.34370291965944
"309M03BM",3.36691911163877
"401M02BM",2.43350919858422
"425M03BM",2.43278892335764
"427M03BM",2.52599498848742
"428M03BM",1.68202099252915
"431M02BM",2.29617018350597
"432M02BM",2.03246243381343
"434M03BM",2.71064327081306
"435M03BM",2.43690057744141
"439M04BM",3.59181623078943
"440M03BM",2.8233466836228
"441M03BM",2.37500276540383
"442M02BM",1.83680770891955
"443M03BM",1.37790952044633
"444M02BM",1.9386339541576
"447M03BM",2.39441436048086
"451M03BM",1.89837680307905
"453M02BM",2.33945531022708
"454M02BM",2.20327119384467
"469M03BM",3.02283623324469
"471M03BM",2.08629206694391
"475M02BM",1.45492165293494
"476M02BM",2.76972854246276
"492M02BM",1.74230309818982
"501M03BM",2.13536930725076
"502M03BM",1.54616758892726
"503M03BM",2.13348798931049
"505M03BM",2.33753429424606
"506M02BM",1.72224282196408
"508M02BM",1.63068751968102
"509M02BM",3.02382920236272
"510M02BM",1.97818654483682
"511M03BM",2.44362305218893
"512M03BM",1.97786297899011
"514M02BM",1.59222460203368
"515M02BM",2.731399777857
"516M02BM",2.09086607526596
"517M02BM",3.09382149828469
"518M02BM",3.50131506803894
"521M02BM",3.33866521782405
"522M02BM",3.11591089731408
"523M02BM",3.07156765041277
"524M03BM",2.4265125386016
"525M04BM",2.07944807458067
"526M03BM",2.21653885898015
"528M03BM",2.95753485827245
"530M03BM",1.56344456018672
"531M02BM",1.17547351786596
"533M03BM",2.81320657346612
"542M02BM",1.61596303713435
"544M03BM",2.13868947405496
"546M03BM",2.56185092453871
"547M02BM",1.31588787677986
"549M03BM",2.4216414116654
"553M02BM",2.76100764847137
"555M03BM",2.55385484068969
"557M04BM",2.18478226822669
"558M03BM",2.24968716710251
"559M03BM",2.01709302145847
"811M03BM",1.88536372680317
"812M03BM",2.70657276762028
"813M02BM",3.36587974647415
"814M02BM",2.5743992914063
"817M02BM",2.05624055880765
"818M02BM",2.25211860127028
"819M02BM",2.40045256508964
"821M02BM",2.35018793889927
"822M02BM",2.97490456574858
"823M03BM",2.55993944638236
"825M02BM",2.88683432292551
"DB01CPM02BM",1.75819232919464
"DB01M03BM",2.91189687089234
"DB02CP03BM",3.07520696829668
"DB03M03BM",3.6242177057819
"DB04M02BM",2.70743291031894
"DB05M03BM",3.33556153047823
"DB06M03BM",2.26256696027259
"DB07M03BM",2.41991112953963
"DB8M02BM",1.84729938659662
"WM022M02BM",2.78415151119489
"WM023M02BM",2.57396967414802
"WM02M02BM",2.71447478644559
"WM03M02BM",2.10994166411854
"WM06M02BM",2.97477795265608
"WM17M03BM",3.68111088181525
"WM19M03BM",4.09443424047454
"WM20M04BM",2.939134724312
"WM21M04BM",1.45505046616833
