ASV,001M03BM,002M02BM,003M03BM,004M02BM,005M03BM,006M03BM,007M02BM,008M03BM,011M03BM,013M03BM,014M03BM,015M03BM,016M02BM,017M03BM,019M02BM,020M02BM,021M03BM,022M02BM,023M03BM,027M02BM,028M03BM,029M03BM,030M03BM,031M03BM,032M03BM,033M02BM,035M03BM,036M03BM,037M04BM,038M03BM,039M02BM,041M02BM,044M03BM,045M03BM,046M03BM,047M03BM,052M03BM,055M02BM,062M03BM,102M02BM,104M02BM,105M02BM,309M03BM,401M02BM,425M03BM,427M03BM,428M03BM,431M02BM,432M02BM,434M03BM,435M03BM,439M04BM,440M03BM,441M03BM,442M02BM,443M03BM,444M02BM,447M03BM,451M03BM,452M03BM,453M02BM,454M02BM,467M02BM,469M03BM,471M03BM,475M02BM,476M02BM,492M02BM,501M03BM,502M03BM,503M03BM,505M03BM,506M02BM,508M02BM,509M02BM,510M02BM,511M03BM,512M03BM,514M02BM,515M02BM,516M02BM,517M02BM,518M02BM,521M02BM,522M02BM,523M02BM,524M03BM,525M04BM,526M03BM,528M03BM,530M03BM,531M02BM,533M03BM,542M02BM,544M03BM,546M03BM,547M02BM,549M03BM,553M02BM,555M03BM,557M04BM,558M03BM,559M03BM,811M03BM,812M03BM,813M02BM,814M02BM,817M02BM,818M02BM,819M02BM,821M02BM,822M02BM,823M03BM,825M02BM,CN-1,CN-2,CN-3,DB01CPM02BM,DB01M03BM,DB02CP03BM,DB02CPM03BM,DB03M03BM,DB04M02BM,DB05M03BM,DB06M03BM,DB07M03BM,DB8M02BM,WM022M02BM,WM023M02BM,WM02M02BM,WM03M02BM,WM06M02BM,WM09M02BM,WM10M02BM,WM11M03BM,WM12M03BM,WM13M02BM,WM15M02BM,WM16M03BM,WM17M03BM,WM19M03BM,WM20M04BM,WM21M04BM,WM24M02BM,WM26M03BM,WM28M02BM
ASV12,0,0,0,0,239,0,9628,0,0,0,0,0,0,0,403,119,150,1414,0,0,0,0,0,12561,0,0,0,0,0,0,101,0,0,629,318,0,927,0,0,0,0,0,328,85,157,2646,1021,2273,2965,0,63,0,0,200,0,154,0,215,1114,0,0,448,0,0,0,1256,1268,0,4421,0,2706,594,0,0,0,85,0,97,0,1564,220,95,0,0,1844,1122,619,181,0,2009,488,64,194,7616,0,3297,0,87,0,416,89,248,6559,112,254,177,157,0,9686,0,0,1110,0,0,0,0,0,0,4871,1489,1858,0,119,1453,2022,1948,2726,0,628,109,0,2724,0,0,0,282,0,0,793,1101,0,0,127,169,0,0
ASV13,0,0,20,0,0,0,6655,27,0,0,9,0,0,0,0,0,73,13,0,0,0,0,0,321,49129,0,19,0,0,0,0,0,0,11,0,33,0,0,0,0,0,42,32,0,12,0,0,0,0,0,0,0,23,128,54,0,0,0,0,0,0,0,13,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,9,0,0,0,0,5,81,26,0,0,0,0,105,18,0,0,2693,77,0,0,0,40,0,0,607,0,11,23,29,0,0,0,0,0,0,0,34,0,0,0,144,0,6,10304,18,10,80,0,0,0,813,0,39,20,33487,25,539,875,0,0,0,32,76,23
ASV14,0,0,0,0,23,645,0,0,0,0,28,0,14,0,0,0,45,0,78,0,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,28547,0,0,0,35,38,0,0,0,12,0,58,49,0,0,41,0,0,0,6,0,0,10,0,5273,0,46,0,10,0,18,59365,0,7,30,1188,0,0,1716,0,20,0,4493,29,459,0,15,16,13,14,0,0,23,0,47,0,0,0,0,0,289,112,0,0,0,9,7,0,0,7,0,0,0,0,0,5,0,0,0,62,43,49,55,141,0,84,0,0,13,0,0,0,179,12,233,158,25,0,0,68,110,0,41,0,0,48,0,30
ASV15,10449,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,13,0,0,0,35540,0,0,0,0,0,9,0,0,4,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,14,36659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14994,0,0,0,0,0,0,78,52,0,0,0,17,0,777,0,0,0,0,0,5,0,0,0,0,0,179,0,77,70,4002,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
ASV16,77,0,0,224,0,178,0,0,72,0,55,0,0,0,0,0,0,0,10,0,0,10,1316,57,33,3901,46,0,0,0,0,0,12,100,0,19,0,0,0,0,0,0,48,0,158,0,0,0,0,0,0,138,7419,34,0,0,0,0,80,0,0,0,0,0,300,0,0,0,0,0,50508,0,14,0,9481,0,1715,0,0,0,0,0,0,8883,0,0,150,0,0,81,0,0,0,0,0,0,0,34,6524,47,0,0,18,148,0,1334,444,0,0,0,47,0,0,0,0,0,0,0,0,96,93,0,375,43,0,0,207,0,35,0,0,17,186,2544,0,0,2918,0,0,0,260,250,0,283,0,45
ASV17,0,19,384,807,0,756,0,0,161,0,0,107,0,26,0,0,76,9559,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,100,0,119,13162,0,21,0,38,0,231,0,0,0,0,0,38,922,16,0,0,0,0,30,0,0,0,47,10518,0,0,0,0,0,0,563,1533,48,24,28,3807,0,7453,0,0,0,0,0,0,2558,0,0,0,51,0,0,0,0,0,0,0,0,0,36,961,91,0,0,0,30,0,325,733,0,41,32,0,110,0,19785,0,0,0,0,0,6999,6315,0,0,0,0,0,0,36,77,0,79,2136,235,1508,0,164,0,40,106,0,0,5414,0,0,221,145
ASV18,13,0,11,6,0,0,0,0,0,0,10204,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,41,0,0,134,0,0,0,9,0,11,0,0,12,22,0,0,4,0,14,0,0,0,5,429,0,0,0,6,0,0,0,0,0,0,35,27,4,0,70601,9517,0,2187,0,26,0,0,0,0,789,0,0,2499,0,800,0,13,0,0,0,0,0,0,0,67,0,0,0,12,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,123,87,0,30,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,147,53,0,20,0,0
ASV19,0,147,0,0,196,0,10840,0,0,0,0,0,0,0,318,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,1139,0,0,0,0,137,0,96,0,2921,719,303,1596,0,104,0,0,315,0,0,0,340,1505,0,0,315,0,0,0,0,771,0,1177,0,0,510,0,0,0,100,0,0,0,1944,266,0,0,0,2006,1327,700,266,0,0,342,0,153,0,0,3669,0,141,0,356,0,232,8454,0,254,217,154,0,11700,0,116,1116,0,0,0,0,0,0,6044,1940,2195,332,877,1487,2125,2321,3149,0,892,0,0,3161,0,0,0,0,0,0,0,1210,0,0,144,0,0,0
ASV20,229,0,0,0,0,24979,0,42,0,100,23,0,81,0,0,7,11,0,28,7,0,0,1050,0,0,195,10,0,0,0,9,0,0,0,0,65,8,0,0,0,0,0,198,29,0,15,0,0,0,0,1473,0,7,0,47,0,0,22,3,0,92,366,30,77,9,31717,77,7,14,5490,731,2714,16,19,52,0,1038,0,18,3,57,1247,2566,0,0,29,8,42,0,52,47,7,47,5,0,22,12,0,0,137,0,0,2,0,12,9,14,7,35,8,28,122,5,346,0,0,0,0,14,160,184,306,0,29,64,0,241,30,70,30,63,2853,257,300,0,0,7,18,181,284,639,0,45,88,174,118
ASV21,198,842,0,0,469,465,208,2369,0,10,706,0,510,0,0,0,0,121,7,1497,0,0,0,105,5,0,13,758,0,0,0,0,0,109,0,2906,1630,0,25,5,0,3,2205,416,120,174,20,183,370,2890,1348,10,518,680,319,48,707,0,0,0,3144,943,0,886,0,0,4802,0,669,107,1027,0,2905,62,152,65,7,1080,179,158,110,401,2386,18,845,812,160,0,6,2413,310,0,303,116,317,230,0,0,5,1203,9,362,263,381,1558,160,2111,150,1657,335,465,925,690,134,0,0,0,822,6485,466,204,4959,139,5319,83,55,113,251,437,700,1071,769,90,0,0,0,0,9,60,988,360,0,0,16,61,303
