"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"511",1,6.7,0.35,3027.7,403.5,158.9,89.7,339.1,2042.8,2452.5,3695.6,422,42.9,70.3,569.5,101.9,33.4,864.9,221,327.5,55.4,364.9,15283.4,5342.5,9405.1
"512",0,5.44,0.29,27.6,3353.8,84.3,240.9,55.1,1034.1,1957.7,184.5,1955.4,41.8,75,78.1,328.9,44.3,469.9,207.7,7.8,339.3,95.4,10581.8,3237.4,6893.6
"514",1,7.63,0.4,2838.5,533.3,525,113.6,589,1245,2002.7,3536.5,578.7,148.3,39.8,929.9,912.4,86.4,332.9,231,168.7,36.3,101.7,14949.7,3270.2,11242.8
"515",0,4.78,0.25,22.6,1223.5,284.8,174.2,20.5,648.8,3877.6,170.8,1874.5,5,115.4,368.5,231.5,43.7,580.2,233.2,17.4,93.7,83.5,10069.6,2821.7,4162.3
"516",1,9.56,0.5,1637.3,1368.4,156.6,435.2,340.4,1253.4,1416.9,2452.3,827.7,51.3,84.2,835.9,2446.2,28.3,696.6,138.2,97.8,37.1,362.9,14666.7,4801.9,12281.3
"517",1,7.07,0.37,4559.9,1302.9,332.1,255.2,241.8,1154.5,2373.7,1383.1,1428,42.6,130.5,345.5,1726.2,79.7,517.3,127.9,44,58.3,85.5,16188.7,3208.1,12926.6
"518",0,6.76,0.36,80.6,1626.6,209.4,282.8,18.6,1191.1,2648.3,97.5,1865.3,94,75.9,280.1,143.2,136.2,564.6,351.9,62.1,368.3,117.4,10213.8,3930.4,4931.8
"521",1,7.15,0.38,3312.1,824.6,192.5,394.9,427.3,1018.4,1737.5,3928.2,481.7,56.2,87.9,605.5,1134.9,25.9,524.7,230.3,311.1,35.4,235.7,15564.7,3698.4,12615.1
"522",1,10.45,0.55,2692.9,2079.1,127.7,433.2,454.5,1903.1,1310.6,1228.2,1002.4,119.7,44.2,758.2,1555.2,155.8,690.3,361.2,192.3,233.1,410,15751.6,5805.4,12120.4
"523",1,10.14,0.53,2323.7,1553.1,225,492,233.1,1294.2,1505.4,1721.9,880.1,120.8,67.9,867.6,2239.1,108.1,656.4,320.1,137.3,73.4,195.2,15014.4,4571.7,12212.1
"524",1,9.49,0.5,2415.3,2307.7,75.7,800.7,278.7,1283.2,2000,1442.9,1269,31.2,98,533.1,2231.6,39.5,599.3,250.2,90.4,104.4,147.8,15998.7,4418,13022
"525",0,5.44,0.29,32.1,3015.9,178.2,258.7,14.6,644.4,2500,215.4,2310,37.2,141.1,116.9,228.5,28.3,425.4,193.1,36.3,366.1,126.2,10868.4,2996.4,6728.7
"526",1,8.53,0.45,3037.8,2966.8,117.8,995.7,415.3,1421,1939,1655.5,1252.2,64.3,70.1,342.7,2569.4,57,440.9,103.8,37,35.8,59,17581.2,3901,15159.6
"528",1,5.75,0.3,5886.2,1847.6,308.3,174.6,558.7,1209.5,3600.1,1164.3,1479,61.7,53.8,269.4,783.5,69.1,247.1,242.2,63.5,79.6,50.2,18148.5,2461.1,13572
"530",1,10.28,0.54,1777.6,1691.2,151.2,347.6,364,1402.6,2438.3,1887.2,1190.7,67,88.5,429.5,1474.7,88.4,767,318.1,183.6,192.3,324.7,15184.1,4836.1,11168.7
"531",1,5.06,0.27,5377.7,715.4,190.6,176.3,371.2,1523.5,3397.9,4350.6,648.4,97.8,52.7,484.9,57.6,18.6,159.2,102.7,106.7,12,36.7,17880.5,2653.3,12375.5
"533",1,6.57,0.35,3360.6,3061.6,400.1,356.7,579.5,1138.8,4331.7,1351.5,1061.5,72.1,50.2,116.6,728,79.5,250.1,150.5,37.1,36.3,17.3,17179.9,2269.8,11783.4
"542",0,3.02,0.16,73,54.1,2403.7,338,19.5,716.1,5568.9,8.2,40.7,75,231.3,383.6,177.1,8.4,536.5,26.1,10.2,30.1,2.8,10703.4,2807.8,720.9
"544",1,8.11,0.43,4003,1259.2,134.8,170.6,632.1,792.7,1819.5,2502.6,1014.9,129.9,79.4,228,1316.5,122,564.3,457.6,445.3,241.6,179.3,16093.6,3241.4,14396.7
"545",1,7.19,0.38,3123,1269.6,199.9,385.3,363.7,1301.1,2460.7,3495.5,759.7,40.1,151.5,185,1364.9,27.3,353.3,83.4,72.8,18.5,48.4,15703.6,2863.3,12392.6
"546",0,6.03,0.32,34.9,2324.1,231,171,10.5,852,2221.3,143.7,2456.9,43.2,112.2,170,251.3,106.5,556.6,232.8,17.6,341.2,88.1,10364.9,3276.8,6135.6
"547",1,6.54,0.34,5376.4,2505.7,404.6,2066.2,360.3,1323.5,2189.4,2115.8,654.1,43.8,31.3,234.2,765,28.8,153.5,74,43.7,16.8,30.4,18417.4,4056.5,13124.7
"549",1,7.55,0.4,2805.2,2634.3,193.5,289.6,373.9,1588,3758.4,1872.4,1656.2,48.1,60.5,277.7,1100,39.6,211.5,153.4,55.9,57.1,55.6,17231,2864.2,12286.4
"553",0,5.2,0.27,20.2,2527.2,309.6,446.6,36.2,776,3381.5,219.1,2058.6,1.7,112.6,232.1,465.4,19.1,285.6,51.7,3.8,29,48.4,11024.6,2293.4,5918.2
