Assay,Well,Strain,Treatment,Replicate,Time,OD
240214,A7,Rothia 3,No treatment,1,12.5,0.105
240214,A7,Rothia 3,No treatment,1,13,0.107
240214,A7,Rothia 3,No treatment,1,13.5,0.109
240214,A7,Rothia 3,No treatment,1,14,0.111
240214,A7,Rothia 3,No treatment,1,14.5,0.114
240214,A7,Rothia 3,No treatment,1,15,0.115
240214,A7,Rothia 3,No treatment,1,15.5,0.118
240214,A7,Rothia 3,No treatment,1,16,0.119
240214,A7,Rothia 3,No treatment,1,16.5,0.121
240214,A7,Rothia 3,No treatment,1,17,0.122
240214,A7,Rothia 3,No treatment,1,17.5,0.123
240214,A7,Rothia 3,No treatment,1,18,0.124
240214,A7,Rothia 3,No treatment,1,18.5,0.126
240214,A7,Rothia 3,No treatment,1,19,0.126
240214,A7,Rothia 3,No treatment,1,19.5,0.127
240214,A7,Rothia 3,No treatment,1,20,0.128
240214,A7,Rothia 3,No treatment,1,20.5,0.129
240214,A7,Rothia 3,No treatment,1,21,0.131
240214,A7,Rothia 3,No treatment,1,21.5,0.132
240214,A7,Rothia 3,No treatment,1,22,0.132
240214,A7,Rothia 3,No treatment,1,22.5,0.133
240214,A7,Rothia 3,No treatment,1,23,0.134
240214,A7,Rothia 3,No treatment,1,23.5,0.135
240214,A7,Rothia 3,No treatment,1,24,0.136
240214,A8,Rothia 3,No treatment,2,0,0
240214,A8,Rothia 3,No treatment,2,0.5,0.002
240214,A8,Rothia 3,No treatment,2,1,0.007
240214,A8,Rothia 3,No treatment,2,1.5,0.013
240214,A8,Rothia 3,No treatment,2,2,0.02
240214,A8,Rothia 3,No treatment,2,2.5,0.027
240214,A8,Rothia 3,No treatment,2,3,0.034
240214,A8,Rothia 3,No treatment,2,3.5,0.039
240214,A8,Rothia 3,No treatment,2,4,0.045
240214,A8,Rothia 3,No treatment,2,4.5,0.05
240214,A8,Rothia 3,No treatment,2,5,0.054
240214,A8,Rothia 3,No treatment,2,5.5,0.058
240214,A8,Rothia 3,No treatment,2,6,0.062
240214,A8,Rothia 3,No treatment,2,6.5,0.064
240214,A8,Rothia 3,No treatment,2,7,0.066
240214,A8,Rothia 3,No treatment,2,7.5,0.069
240214,A8,Rothia 3,No treatment,2,8,0.075
240214,A8,Rothia 3,No treatment,2,8.5,0.078
240214,A8,Rothia 3,No treatment,2,9,0.083
240214,A8,Rothia 3,No treatment,2,9.5,0.086
240214,A8,Rothia 3,No treatment,2,10,0.09
240214,A8,Rothia 3,No treatment,2,10.5,0.094
240214,A8,Rothia 3,No treatment,2,11,0.098
240214,A8,Rothia 3,No treatment,2,11.5,0.101
240214,A8,Rothia 3,No treatment,2,12,0.104
240214,A8,Rothia 3,No treatment,2,12.5,0.107
240214,A8,Rothia 3,No treatment,2,13,0.109
240214,A8,Rothia 3,No treatment,2,13.5,0.112
240214,A8,Rothia 3,No treatment,2,14,0.114
240214,A8,Rothia 3,No treatment,2,14.5,0.116
240214,A8,Rothia 3,No treatment,2,15,0.118
240214,A8,Rothia 3,No treatment,2,15.5,0.12
240214,A8,Rothia 3,No treatment,2,16,0.122
240214,A8,Rothia 3,No treatment,2,16.5,0.123
240214,A8,Rothia 3,No treatment,2,17,0.125
240214,A8,Rothia 3,No treatment,2,17.5,0.126
240214,A8,Rothia 3,No treatment,2,18,0.127
240214,A8,Rothia 3,No treatment,2,18.5,0.128
240214,A8,Rothia 3,No treatment,2,19,0.129
240214,A8,Rothia 3,No treatment,2,19.5,0.13
240214,A8,Rothia 3,No treatment,2,20,0.132
240214,A8,Rothia 3,No treatment,2,20.5,0.133
240214,A8,Rothia 3,No treatment,2,21,0.133
240214,A8,Rothia 3,No treatment,2,21.5,0.135
240214,A8,Rothia 3,No treatment,2,22,0.135
240214,A8,Rothia 3,No treatment,2,22.5,0.137
240214,A8,Rothia 3,No treatment,2,23,0.138
240214,A8,Rothia 3,No treatment,2,23.5,0.139
240214,A8,Rothia 3,No treatment,2,24,0.139
240214,A9,Rothia 3,No treatment,3,0,0
240214,A9,Rothia 3,No treatment,3,0.5,0.002
240214,A9,Rothia 3,No treatment,3,1,0.007
240214,A9,Rothia 3,No treatment,3,1.5,0.013
240214,A9,Rothia 3,No treatment,3,2,0.019
240214,A9,Rothia 3,No treatment,3,2.5,0.026
240214,A9,Rothia 3,No treatment,3,3,0.033
240214,A9,Rothia 3,No treatment,3,3.5,0.039
240214,A9,Rothia 3,No treatment,3,4,0.044
240214,A9,Rothia 3,No treatment,3,4.5,0.049
240214,A9,Rothia 3,No treatment,3,5,0.053
240214,A9,Rothia 3,No treatment,3,5.5,0.057
240214,A9,Rothia 3,No treatment,3,6,0.061
240214,A9,Rothia 3,No treatment,3,6.5,0.063
240214,A9,Rothia 3,No treatment,3,7,0.065
240214,A9,Rothia 3,No treatment,3,7.5,0.068
240214,A9,Rothia 3,No treatment,3,8,0.073
240214,A9,Rothia 3,No treatment,3,8.5,0.079
240214,A9,Rothia 3,No treatment,3,9,0.082
240214,A9,Rothia 3,No treatment,3,9.5,0.086
240214,A9,Rothia 3,No treatment,3,10,0.088
240214,A9,Rothia 3,No treatment,3,10.5,0.091
240214,A9,Rothia 3,No treatment,3,11,0.094
240214,A9,Rothia 3,No treatment,3,11.5,0.097
240214,A9,Rothia 3,No treatment,3,12,0.099
240214,A9,Rothia 3,No treatment,3,12.5,0.102
240214,A9,Rothia 3,No treatment,3,13,0.104
240214,A9,Rothia 3,No treatment,3,13.5,0.107
240214,A9,Rothia 3,No treatment,3,14,0.108
240214,A9,Rothia 3,No treatment,3,14.5,0.11
240214,A9,Rothia 3,No treatment,3,15,0.112
240214,A9,Rothia 3,No treatment,3,15.5,0.114
240214,A9,Rothia 3,No treatment,3,16,0.115
240214,A9,Rothia 3,No treatment,3,16.5,0.116
240214,A9,Rothia 3,No treatment,3,17,0.118
240214,A9,Rothia 3,No treatment,3,17.5,0.119
240214,A9,Rothia 3,No treatment,3,18,0.121
240214,A9,Rothia 3,No treatment,3,18.5,0.122
240214,A9,Rothia 3,No treatment,3,19,0.123
240214,A9,Rothia 3,No treatment,3,19.5,0.124
240214,A9,Rothia 3,No treatment,3,20,0.125
240214,A9,Rothia 3,No treatment,3,20.5,0.126
240214,A9,Rothia 3,No treatment,3,21,0.126
240214,A9,Rothia 3,No treatment,3,21.5,0.127
240214,A9,Rothia 3,No treatment,3,22,0.128
240214,A9,Rothia 3,No treatment,3,22.5,0.129
240214,A9,Rothia 3,No treatment,3,23,0.129
240214,A9,Rothia 3,No treatment,3,23.5,0.132
240214,A9,Rothia 3,No treatment,3,24,0.132
240214,A10,Rothia 2,No treatment,1,0,0
240214,A10,Rothia 2,No treatment,1,0.5,0.002
240214,A10,Rothia 2,No treatment,1,1,0.006
240214,A10,Rothia 2,No treatment,1,1.5,0.011
240214,A10,Rothia 2,No treatment,1,2,0.018
240214,A10,Rothia 2,No treatment,1,2.5,0.024
240214,A10,Rothia 2,No treatment,1,3,0.029
240214,A10,Rothia 2,No treatment,1,3.5,0.035
240214,A10,Rothia 2,No treatment,1,4,0.04
240214,A10,Rothia 2,No treatment,1,4.5,0.044
240214,A10,Rothia 2,No treatment,1,5,0.048
240214,A10,Rothia 2,No treatment,1,5.5,0.051
240214,A10,Rothia 2,No treatment,1,6,0.054
240214,A10,Rothia 2,No treatment,1,6.5,0.055
240214,A10,Rothia 2,No treatment,1,7,0.063
240214,A10,Rothia 2,No treatment,1,7.5,0.072
240214,A10,Rothia 2,No treatment,1,8,0.079
240214,A10,Rothia 2,No treatment,1,8.5,0.086
240214,A10,Rothia 2,No treatment,1,9,0.091
240214,A10,Rothia 2,No treatment,1,9.5,0.095
240214,A10,Rothia 2,No treatment,1,10,0.1
240214,A10,Rothia 2,No treatment,1,10.5,0.103
240214,A10,Rothia 2,No treatment,1,11,0.106
240214,A10,Rothia 2,No treatment,1,11.5,0.11
240214,A10,Rothia 2,No treatment,1,12,0.113
240214,A10,Rothia 2,No treatment,1,12.5,0.116
240214,A10,Rothia 2,No treatment,1,13,0.118
240214,A10,Rothia 2,No treatment,1,13.5,0.121
240214,A10,Rothia 2,No treatment,1,14,0.123
240214,A10,Rothia 2,No treatment,1,14.5,0.125
240214,A10,Rothia 2,No treatment,1,15,0.127
240214,A10,Rothia 2,No treatment,1,15.5,0.129
240214,A10,Rothia 2,No treatment,1,16,0.13
240214,A10,Rothia 2,No treatment,1,16.5,0.132
240214,A10,Rothia 2,No treatment,1,17,0.133
240214,A10,Rothia 2,No treatment,1,17.5,0.134
240214,A10,Rothia 2,No treatment,1,18,0.135
240214,A10,Rothia 2,No treatment,1,18.5,0.136
240214,A10,Rothia 2,No treatment,1,19,0.137
240214,A10,Rothia 2,No treatment,1,19.5,0.137
240214,A10,Rothia 2,No treatment,1,20,0.138
240214,A10,Rothia 2,No treatment,1,20.5,0.138
240214,A10,Rothia 2,No treatment,1,21,0.139
240214,A10,Rothia 2,No treatment,1,21.5,0.139
240214,A10,Rothia 2,No treatment,1,22,0.14
240214,A10,Rothia 2,No treatment,1,22.5,0.141
240214,A10,Rothia 2,No treatment,1,23,0.142
240214,A10,Rothia 2,No treatment,1,23.5,0.142
240214,A10,Rothia 2,No treatment,1,24,0.143
240214,A11,Rothia 2,No treatment,2,0,0
240214,A11,Rothia 2,No treatment,2,0.5,0.001
240214,A11,Rothia 2,No treatment,2,1,0.003
240214,A11,Rothia 2,No treatment,2,1.5,0.009
240214,A11,Rothia 2,No treatment,2,2,0.014
240214,A11,Rothia 2,No treatment,2,2.5,0.02
240214,A11,Rothia 2,No treatment,2,3,0.025
240214,A11,Rothia 2,No treatment,2,3.5,0.032
240214,A11,Rothia 2,No treatment,2,4,0.037
240214,A11,Rothia 2,No treatment,2,4.5,0.042
240214,A11,Rothia 2,No treatment,2,5,0.046
240214,A11,Rothia 2,No treatment,2,5.5,0.05
240214,A11,Rothia 2,No treatment,2,6,0.053
240214,A11,Rothia 2,No treatment,2,6.5,0.065
240214,A11,Rothia 2,No treatment,2,7,0.074
240214,A11,Rothia 2,No treatment,2,7.5,0.081
240214,A11,Rothia 2,No treatment,2,8,0.087
240214,A11,Rothia 2,No treatment,2,8.5,0.09
240214,A11,Rothia 2,No treatment,2,9,0.093
240214,A11,Rothia 2,No treatment,2,9.5,0.097
240214,A11,Rothia 2,No treatment,2,10,0.101
240214,A11,Rothia 2,No treatment,2,10.5,0.105
240214,A11,Rothia 2,No treatment,2,11,0.109
240214,A11,Rothia 2,No treatment,2,11.5,0.113
240214,A11,Rothia 2,No treatment,2,12,0.117
240214,A11,Rothia 2,No treatment,2,12.5,0.12
240214,A11,Rothia 2,No treatment,2,13,0.124
240214,A11,Rothia 2,No treatment,2,13.5,0.126
240214,A11,Rothia 2,No treatment,2,14,0.128
240214,A11,Rothia 2,No treatment,2,14.5,0.131
240214,A11,Rothia 2,No treatment,2,15,0.133
240214,A11,Rothia 2,No treatment,2,15.5,0.135
240214,A11,Rothia 2,No treatment,2,16,0.137
240214,A11,Rothia 2,No treatment,2,16.5,0.139
240214,A11,Rothia 2,No treatment,2,17,0.14
240214,A11,Rothia 2,No treatment,2,17.5,0.141
240214,A11,Rothia 2,No treatment,2,18,0.142
240214,A11,Rothia 2,No treatment,2,18.5,0.142
240214,A11,Rothia 2,No treatment,2,19,0.143
240214,A11,Rothia 2,No treatment,2,19.5,0.144
240214,A11,Rothia 2,No treatment,2,20,0.145
240214,A11,Rothia 2,No treatment,2,20.5,0.146
240214,A11,Rothia 2,No treatment,2,21,0.147
240214,A11,Rothia 2,No treatment,2,21.5,0.148
240214,A11,Rothia 2,No treatment,2,22,0.148
240214,A11,Rothia 2,No treatment,2,22.5,0.149
240214,A11,Rothia 2,No treatment,2,23,0.151
240214,A11,Rothia 2,No treatment,2,23.5,0.152
240214,A11,Rothia 2,No treatment,2,24,0.153
240214,A12,Rothia 2,No treatment,3,0,0
240214,A12,Rothia 2,No treatment,3,0.5,0.001
240214,A12,Rothia 2,No treatment,3,1,0.004
240214,A12,Rothia 2,No treatment,3,1.5,0.01
240214,A12,Rothia 2,No treatment,3,2,0.015
240214,A12,Rothia 2,No treatment,3,2.5,0.021
240214,A12,Rothia 2,No treatment,3,3,0.026
240214,A12,Rothia 2,No treatment,3,3.5,0.031
240214,A12,Rothia 2,No treatment,3,4,0.035
240214,A12,Rothia 2,No treatment,3,4.5,0.038
240214,A12,Rothia 2,No treatment,3,5,0.041
240214,A12,Rothia 2,No treatment,3,5.5,0.044
240214,A12,Rothia 2,No treatment,3,6,0.05
240214,A12,Rothia 2,No treatment,3,6.5,0.053
240214,A12,Rothia 2,No treatment,3,7,0.061
240214,A12,Rothia 2,No treatment,3,7.5,0.066
240214,A12,Rothia 2,No treatment,3,8,0.071
240214,A12,Rothia 2,No treatment,3,8.5,0.076
240214,A12,Rothia 2,No treatment,3,9,0.082
240214,A12,Rothia 2,No treatment,3,9.5,0.086
240214,A12,Rothia 2,No treatment,3,10,0.09
240214,A12,Rothia 2,No treatment,3,10.5,0.094
240214,A12,Rothia 2,No treatment,3,11,0.098
240214,A12,Rothia 2,No treatment,3,11.5,0.101
240214,A12,Rothia 2,No treatment,3,12,0.105
240214,A12,Rothia 2,No treatment,3,12.5,0.108
240214,A12,Rothia 2,No treatment,3,13,0.112
240214,A12,Rothia 2,No treatment,3,13.5,0.114
240214,A12,Rothia 2,No treatment,3,14,0.116
240214,A12,Rothia 2,No treatment,3,14.5,0.119
240214,A12,Rothia 2,No treatment,3,15,0.12
240214,A12,Rothia 2,No treatment,3,15.5,0.123
240214,A12,Rothia 2,No treatment,3,16,0.124
240214,A12,Rothia 2,No treatment,3,16.5,0.125
240214,A12,Rothia 2,No treatment,3,17,0.126
240214,A12,Rothia 2,No treatment,3,17.5,0.127
240214,A12,Rothia 2,No treatment,3,18,0.128
240214,A12,Rothia 2,No treatment,3,18.5,0.129
240214,A12,Rothia 2,No treatment,3,19,0.13
240214,A12,Rothia 2,No treatment,3,19.5,0.131
240214,A12,Rothia 2,No treatment,3,20,0.132
240214,A12,Rothia 2,No treatment,3,20.5,0.133
240214,A12,Rothia 2,No treatment,3,21,0.134
240214,A12,Rothia 2,No treatment,3,21.5,0.135
240214,A12,Rothia 2,No treatment,3,22,0.136
240214,A12,Rothia 2,No treatment,3,22.5,0.136
240214,A12,Rothia 2,No treatment,3,23,0.137
240214,A12,Rothia 2,No treatment,3,23.5,0.139
240214,A12,Rothia 2,No treatment,3,24,0.14
240214,C4,Rothia 1,pHMOs,1,0,0
240214,C4,Rothia 1,pHMOs,1,0.5,0.002
240214,C4,Rothia 1,pHMOs,1,1,0.004
240214,C4,Rothia 1,pHMOs,1,1.5,0.01
240214,C4,Rothia 1,pHMOs,1,2,0.013
240214,C4,Rothia 1,pHMOs,1,2.5,0.019
240214,C4,Rothia 1,pHMOs,1,3,0.026
240214,C4,Rothia 1,pHMOs,1,3.5,0.033
240214,C4,Rothia 1,pHMOs,1,4,0.042
240214,C4,Rothia 1,pHMOs,1,4.5,0.051
240214,C4,Rothia 1,pHMOs,1,5,0.06
240214,C4,Rothia 1,pHMOs,1,5.5,0.066
240214,C4,Rothia 1,pHMOs,1,6,0.07
240214,C4,Rothia 1,pHMOs,1,6.5,0.074
240214,C4,Rothia 1,pHMOs,1,7,0.077
240214,C4,Rothia 1,pHMOs,1,7.5,0.08
240214,C4,Rothia 1,pHMOs,1,8,0.082
240214,C4,Rothia 1,pHMOs,1,8.5,0.083
240214,C4,Rothia 1,pHMOs,1,9,0.084
240214,C4,Rothia 1,pHMOs,1,9.5,0.086
240214,C4,Rothia 1,pHMOs,1,10,0.087
240214,C4,Rothia 1,pHMOs,1,10.5,0.088
240214,C4,Rothia 1,pHMOs,1,11,0.09
240214,C4,Rothia 1,pHMOs,1,11.5,0.091
240214,C4,Rothia 1,pHMOs,1,12,0.092
240214,C4,Rothia 1,pHMOs,1,12.5,0.093
240214,C4,Rothia 1,pHMOs,1,13,0.094
240214,C4,Rothia 1,pHMOs,1,13.5,0.095
240214,C4,Rothia 1,pHMOs,1,14,0.095
240214,C4,Rothia 1,pHMOs,1,14.5,0.096
240214,C4,Rothia 1,pHMOs,1,15,0.097
240214,C4,Rothia 1,pHMOs,1,15.5,0.098
240214,C4,Rothia 1,pHMOs,1,16,0.099
240214,C4,Rothia 1,pHMOs,1,16.5,0.1
240214,C4,Rothia 1,pHMOs,1,17,0.101
240214,C4,Rothia 1,pHMOs,1,17.5,0.101
240214,C4,Rothia 1,pHMOs,1,18,0.103
240214,C4,Rothia 1,pHMOs,1,18.5,0.104
240214,C4,Rothia 1,pHMOs,1,19,0.104
240214,C4,Rothia 1,pHMOs,1,19.5,0.105
240214,C4,Rothia 1,pHMOs,1,20,0.106
240214,C4,Rothia 1,pHMOs,1,20.5,0.107
240214,C4,Rothia 1,pHMOs,1,21,0.108
240214,C4,Rothia 1,pHMOs,1,21.5,0.109
240214,C4,Rothia 1,pHMOs,1,22,0.11
240214,C4,Rothia 1,pHMOs,1,22.5,0.111
240214,C4,Rothia 1,pHMOs,1,23,0.112
240214,C4,Rothia 1,pHMOs,1,23.5,0.113
240214,C4,Rothia 1,pHMOs,1,24,0.114
240214,C5,Rothia 1,pHMOs,2,0,0
240214,C5,Rothia 1,pHMOs,2,0.5,0.003
240214,C5,Rothia 1,pHMOs,2,1,0.006
240214,C5,Rothia 1,pHMOs,2,1.5,0.011
240214,C5,Rothia 1,pHMOs,2,2,0.019
240214,C5,Rothia 1,pHMOs,2,2.5,0.026
240214,C5,Rothia 1,pHMOs,2,3,0.032
240214,C5,Rothia 1,pHMOs,2,3.5,0.042
240214,C5,Rothia 1,pHMOs,2,4,0.053
240214,C5,Rothia 1,pHMOs,2,4.5,0.063
240214,C5,Rothia 1,pHMOs,2,5,0.07
240214,C5,Rothia 1,pHMOs,2,5.5,0.076
240214,C5,Rothia 1,pHMOs,2,6,0.081
240214,C5,Rothia 1,pHMOs,2,6.5,0.084
240214,C5,Rothia 1,pHMOs,2,7,0.088
240214,C5,Rothia 1,pHMOs,2,7.5,0.09
240214,C5,Rothia 1,pHMOs,2,8,0.092
240214,C5,Rothia 1,pHMOs,2,8.5,0.094
240214,C5,Rothia 1,pHMOs,2,9,0.096
240214,C5,Rothia 1,pHMOs,2,9.5,0.097
240214,C5,Rothia 1,pHMOs,2,10,0.099
240214,C5,Rothia 1,pHMOs,2,10.5,0.1
