"Sample","Secretor","Diversity","Evenness","X2_FL","X3_FL","LNnT","X3_SL","DFLac","X6_SL","LNT","LNFP_I","LNFP_II","LNFP_III","LSTb","LSTc","DFLNT","LNH","DSLNT","FLNH","DFLNH","FDSLNH","DSLNH","SUM","Sia","Fuc"
"14HM251.M",1,3.42,0.18,9582.7,1322.5,190,2398,2839.4,60,203.3,306.2,742.4,52.5,35.8,73,1317.9,26.6,59.1,11.2,3.3,126.1,48.4,19398.3,3034,20464.8
"14HM252.M",NA,4.16,0.22,672.3,53.2,2050.6,146.7,286,416.6,4481,184.3,1199.8,146.8,218.9,8.2,199.4,66.8,185.7,28,7,168.7,16.8,10536.9,1532.7,3437.9
"14HM253.M",0,4.81,0.25,301.7,720.6,606.6,267.8,34.3,106.6,1623.9,208.5,3791,167.6,221.9,22.4,1175.7,57.1,106.2,9.3,15.5,241.4,43.3,9721.3,1400.3,7890.9
"14HM254.M",0,5.16,0.27,26.2,495.2,319.6,351.4,24.2,623.5,1753.5,398.9,3486.6,196.8,194.6,14.3,1279.4,67.6,147.4,23.8,10,213.3,22.3,9648.6,1949.8,7468.1
"14HM255.M",1,3.29,0.17,8483.2,476.3,157.6,1164.8,382.3,199.6,1223.2,705.9,918.7,98.5,90.2,19.8,1031.1,64.1,67.7,284.5,183,431.8,37.7,16019.8,2548.6,14591.7
"14HM256.M",1,6.34,0.33,3291.1,376.1,550.6,810.8,233.9,166.7,1404.6,293.2,3277.6,100.3,107.1,37.8,1397.3,94.4,98,108.7,12.9,669.8,117.7,13148.7,2893.4,11405
"14HM257.M",1,3.6,0.19,8327.1,727.4,292.2,1754.5,465.8,151.5,801.1,375.3,1777.8,53.3,47.6,49.7,1623.1,60.8,70.5,43.3,5.8,282.8,57.1,16966.8,2824.2,15776.6
"14HM258.M",0,4.77,0.25,16.6,347.3,248.8,192.5,16.4,130.4,1767.8,245.6,3258.5,129.7,151.5,21.1,904.6,116.5,76.7,135.3,24.5,766,58.2,8608.3,2297.5,6790.2
"14HM259.M",1,1.69,0.09,15769.1,330.7,192.8,218.7,323.2,75.7,757.4,2407.3,315.3,92.5,67.3,16.5,15.9,13.4,86.9,12.2,29.1,57.2,8.1,20789.5,682.7,19720.9
"14HM260.M",NA,4.64,0.24,688.3,49.2,1161.7,336.1,104.4,445.4,4008.5,300,2059.2,136.4,147.6,11.4,148.8,51.2,170.1,144.4,13.5,285.4,15.6,10277.3,1882.7,4196.2
"14HM261.M",1,5.68,0.3,1103.5,229.7,1175,67.7,232.9,330.3,3343.1,495.8,3475.2,182.8,237.6,41.8,781.8,74.7,110.7,132.1,20.7,360.9,31.7,12428,1683.9,8050.7
"14HM262.M",0,4.29,0.23,134.1,592.7,357.2,385.5,42.2,71.1,1487,256.7,4066,124.8,154,17.1,1251.6,62.5,89.2,12.7,25.4,373.4,37.4,9540.8,1627.9,8198.9
"14HM263.M",NA,5.62,0.3,876.2,237.9,664.5,287,153.8,125.4,3048.3,353.2,3368.5,148.6,154.3,37,750.7,112.1,62.3,216.7,43,754.4,73.4,11467.5,2384.1,7850.5
"14HM264.M",1,5.58,0.29,5746,466.7,420.2,1111.8,527.2,133.7,2265.6,1108.6,1829.5,179.8,197.1,28.4,1977.2,52.6,179.9,38.7,22.5,191.2,8.2,16485,2229.6,14614.3
"14HM265.M",0,5.64,0.3,34.2,179.3,611.1,177.2,20.9,277.3,2711.7,186.6,2474.2,230.8,141.6,71.9,321.2,354,88.2,304,59.1,878.9,148,9270,2898.1,5090.4
"14HM266.M",1,3,0.16,9401.2,528.1,278.8,1432.8,239.1,230.7,772.9,419.2,1397.6,65.9,40.4,57.5,1112.6,92,27.1,108.9,46.2,504.3,129.1,16884.3,3082.3,15220.8
"14HM267.M",1,2.24,0.12,11750.9,528,414.8,1253.2,359.7,118.9,494.8,431.3,1077.3,46.4,27.9,76.6,930.2,60.8,42.9,48.4,12.1,171.7,46.4,17892.5,1998.7,16658
"14HM268.M",1,4.47,0.24,7272,275.3,865.6,669,198.4,184.7,1635.5,1762,1163,107.9,129.2,116.1,1462.3,141.1,159.7,199.9,176.4,243.1,109.3,16870.5,2123.3,14697.3
"14HM269.M",1,6.78,0.36,2107.4,163.2,965,493.6,138.2,255.1,3213.8,489.7,3028.6,154.2,101.3,106.7,1679.7,171.7,93.1,171.4,17.8,471.3,111.9,13933.8,2309.4,10257.2
"14HM270.M",1,5.15,0.27,5626.5,312.8,784.3,873.8,261.7,112.1,1353.7,609.2,2371,99.6,80.5,20.4,1967.4,146.5,98.6,87.7,27.5,390,24.6,15247.8,2113.1,14010
"14HM271.M",1,2.31,0.12,12500.8,299.9,260.5,508.5,393.5,75.8,1393.5,3135.3,535,111.4,138.4,7.2,75.7,12.4,100.2,17.7,88.3,75.3,6.6,19736.1,1094,17790.4
"14HM272.M",1,4.25,0.22,7197.8,407.8,584.9,862.7,235.5,112.3,1608.4,1129,1715.4,72.8,67.3,47,1885.4,77.9,78.2,68.9,25,222.2,45.8,16444.3,1781.8,15105.6
"14HM273.M",1,5.6,0.29,5130.9,476.9,456.6,962,334,221.4,2036,776.3,2259,114.7,144.6,13.8,1933.1,60.3,94.3,20.1,6.3,189.7,10.9,15240.8,1931.4,13514.4
"14HM274.M",1,4.15,0.22,7922.4,408.8,809.3,818.2,265.8,159.2,1746.7,1561.5,1624.8,96.5,118.2,19.3,1487.9,73.8,190.6,53.7,36.5,225.5,5.8,17624.5,1958.7,15473.6
"14HM275.M",1,5.37,0.28,5984.3,314.7,1091,664.8,187.6,220.8,2110.8,1173.5,2323.3,129.1,79.3,23.7,1890.7,120.2,84,79.1,25.2,281.9,18.2,16802.3,1756.7,14492.9
"14HM276.M",1,3.61,0.19,8866.9,421.4,514.9,1049.7,300.1,92.7,1259,1225.9,1514.6,92.9,100.5,47.3,1938.4,82.7,87.2,74.7,48.9,232.8,28.3,17978.9,1987,17004.1
"14HM277.M",1,3.76,0.2,8621,760.4,355.7,1163.4,334.7,102.4,1541.6,950,1586,98.1,110.7,25.9,1933.3,68.2,72.7,37,30.3,174.6,25.3,17991.2,1947.4,16823.7
"14HM278.M",1,5.14,0.27,5943.8,314.7,580.2,717.8,225.1,185.8,2473.1,1559,1584.2,82.7,124.1,20.5,1932.4,67.5,79.7,48.2,57.3,201,23.6,16220.7,1656.6,14163.4
"14HM279.M",1,2.07,0.11,12924.6,569.5,233.9,1236.7,321.8,63.6,406.4,613.6,876.8,47.8,32.6,53.6,1045.1,61.9,35.6,44.4,53.8,207,25.1,18853.8,1922,18125
"14HM280.M",0,5.11,0.27,120.8,235.5,402.4,36.2,100.2,114.4,1408.2,206.6,3170.1,148.3,189.8,34.3,1461.6,148.4,85.4,26.4,24.4,817.7,92.5,8823.1,2365.9,7897.8
"14HM281.M",1,5.81,0.31,5347.7,588.3,416.1,1517.2,522.8,175.5,1484.4,1050.9,1954.6,117.7,137.6,21.8,2245.7,64.7,108.4,19.2,20.5,173.1,11.6,15977.9,2438.3,14829.7
"14HM282.M",1,4.51,0.24,6779.6,454.9,560.7,1057.6,289,213.7,1215.2,1119.6,1649.6,75.1,108.1,25.2,2312,70.6,102.5,29.7,12.7,172.7,9,16257.7,1973.1,15508.7
"14HM283.M",0,4.39,0.23,118.6,272.8,800.4,175.1,13.8,195.4,1937.4,194.6,3710.1,152.4,138.7,23.2,148.5,194.4,96.2,54.4,40.7,827.9,73.3,9167.7,2527.1,5736.7
"14HM284.M",0,4.41,0.23,175.5,282.1,401,146.5,40.1,108.6,2166.6,307.4,3659.1,181,178,21,908.1,80.4,117.1,30.6,17.9,425.9,43.3,9290.3,1626.7,6993.9
"14HM285.M",1,6.33,0.33,4366.8,234.4,977.1,491.7,185.4,218.1,2489.6,925,2400.3,115.7,155.3,44.2,2382.1,112.4,162.7,74.5,21.5,302.9,60.1,15719.7,1960.7,13597.7
"14HM286.M",1,3.76,0.2,8169.5,244.7,815.1,467.1,173.3,144.4,1886,2555.8,749.4,93.4,127.7,27.9,1485.8,69.1,156.9,81.7,76.9,78.1,15.2,17418,1267.3,15444.6
"14HM287.M",1,4.76,0.25,6673.4,392,709.9,808.7,273.7,136,2113.3,1121.7,1840.7,119.8,87.9,29.2,1569.8,99.1,71.9,89.6,62.1,329.7,39.4,16568,1943.9,14378
"14HM288.M",1,3.54,0.19,9260.9,486.7,682.4,1273.8,443.8,112.7,1314,938.9,1733.1,98.5,108.1,43.7,1277.9,88.1,109.9,63.1,62,288,19.2,18404.8,2372.6,16436.5
"14HM289.M",0,5.44,0.29,6.3,181.9,279.2,1166.9,43,333.4,2284.7,280.1,3080.1,75.2,210.6,10.2,488.6,63.9,912.3,36.4,15.6,295.5,19,9782.9,4174.7,5049.9
"14HM290.M",1,5.57,0.29,5415.9,590.9,133.6,2191.3,983.1,68.7,865.2,384,1867.7,74,101.5,10.6,2699.4,50.8,667.1,14.4,7.1,156.1,11.3,16292.6,4040.9,15882.2
"14HM291.M",1,5.7,0.3,5238.9,518,316.4,1743,1198.4,62.7,888.4,329.8,2091.1,49.8,88,23.2,1658,57.9,595.9,33.6,7.6,335.1,15.9,15251.8,3810.7,14324.3
