Sample, Streptococcus, Haemophilus, Gemella, Moraxella, Actinomyces, Geobacillus, Deinococcus, Thermus, Corynebacterium, Campylobacter, Staphylococcus, Brevibacterium, Dolosigranulum, Acinetobacter, Stenotrophomonas, Enterobacteriaceae, Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium, Empedobacter, Prevotella, Novosphingobium, Caldicellulosiruptor, Brevundimonas, Veillonella, Sphingobium, Comamonadaceae, Delftia, Bergeyella, Lactococcus, Enterococcus, Bacillaceae, Thermoanaerobacterium, Escherichia-Shigella, Abiotrophia, Methylobacterium-Methylorubrum, Lactobacillales, Neisseria, Fusobacterium, Actinobacillus, Porphyromonas, Alloprevotella, Lachnoanaerobaculum, Oribacterium, Neisseriaceae, Micrococcus, Enhydrobacter, Lactobacillus, Meiothermus, Aeribacillus, Bacillus, Comamonas, Exiguobacterium, Chryseobacterium, Aeromonas, Roseomonas, Atopobium, Bifidobacterium, Tepidimonas, Sphingomonas, Brachybacterium, Rothia, uncultured, Burkholderia-Caballeronia-Paraburkholderia, Lawsonella, Bradyrhizobium, Pseudomonas, Rubrobacter, Megasphaera, Rhodococcus, Ralstonia, KCM-B-112, Ezakiella, Aerococcus, Fenollaria, Finegoldia, Peptostreptococcus, Kingella, Caldanaerobacter, Streptobacillus, Agathobacter, Roseburia, Cloacibacterium, Sphingobacterium, Massilia, Cupriavidus, Beijerinckiaceae, Peptoniphilus, Intrasporangiaceae, Alcaligenaceae, Capnocytophaga, Lautropia, Cardiobacterium, Pantoea, Paracoccus, Leptotrichia, Anoxybacillus, Yersiniaceae, Serratia, Kocuria, Dialister, Xanthomonas, Lachnospiraceae, Solobacterium, Pasteurellaceae, TRA3-20, uncultured.1, Gordonia, Akkermansia, Enterobacterales, Candidatus_Udaeobacter, Micrococcaceae, Bacteroides, Aggregatibacter, Selenomonas, Microbacteriaceae, Tepidiphilus, Clostridium_sensu_stricto_1, Stomatobaculum, Absconditabacteriales_(SR1), Muribaculaceae, Pseudoxanthomonas, Anaerococcus, Faecalibacterium, Mycobacterium, Ignatzschineria, Tetragenococcus, Mitochondria, Vibrio, Leuconostoc, Paenibacillus, Clostridia_UCG-014, Flavobacterium
14HM99.M,8.54225185247794,5.220721873549655,5.323376027609738,-1.5796641634453161,-2.2371667578126053,6.9663902355774425,-1.4434764349848832,6.691208325889894,-2.2371667578126053,-0.019343963106503548,4.248861290520689,-0.5011462086688079,-0.019343963106503548,-1.242626463796185,-1.573276143027933,4.094710610693431,-1.4528314498363564,-1.628070782459035,-1.2793558277726023,-1.3208760259384502,4.90564082690976,-1.1678110349197688,6.727797773322186,-1.3720912544528723,-1.4029309306299846,-1.102073830900777,-1.9978298176301292,-1.5440195772526604,-2.1426554011401713,-0.16222476053658474,-1.9978298176301292,5.298683415019367,-0.6391366907367662,5.814496580296396,-2.1426554011401713,6.075712079560015,-1.3254489244592986,-1.0588156767306733,-2.1426554011401713,5.0437911653905765,-0.13744851768873745,0.4898750987784024,-0.46252495200955135,-1.3046826370701838,-1.573276143027933,5.872483837946746,-1.5923647095219646,0.4898750987784024,6.064151257158938,-0.906611316776972,-1.242626463796185,-0.6778802509913291,-1.113478100685029,-0.7624532655620695,-0.22226373727034043,-2.2371667578126053,-1.9978298176301292,-1.4528314498363564,-0.5011462086688079,2.70841624957354,4.443017304961646,-0.7503292544249378,-0.712491143666449,-0.49803656785476136,8.36789846533316,0.05041081317920981,0.4898750987784024,-4.3050626075102905e-4,-1.573276143027933,-1.0145214239708635,-0.7624532655620695,-1.203269479592402,-0.3413869891819401,-0.9447157874690721,-0.5630429381332815,-0.20268049080717931,-0.4319651491186969,-0.712491143666449,-0.6778802509913291,-0.32137424341091836,0.4898750987784024,-1.0377668520075174,-0.712491143666449,-0.6789440738929269,-1.0815390857559741,-1.5923647095219646,-0.7503292544249378,-0.6369213658054349,0.4898750987784024,-0.16736119433308883,-0.49803656785476136,-1.9978298176301292,-0.6969869571304836,-0.7394412820406369,0.015687517346226754,-1.9978298176301292,-1.707668604530809,-0.07345126855355577,-0.7503292544249378,-0.02657845700743633,-1.3078091073392795,-0.498099484678741,-1.3909588800052193,-1.0815390857559741,-0.30702603555828456,-1.0139394118823777,-1.2608517204585734,-2.0652384350128172,-0.712491143666449,-0.07345126855355577,-2.2371667578126053,0.4898750987784024,-0.0838348821971775,-0.15785784505933265,-0.32633573192203014,-1.0145214239708635,0.4898750987784024,-0.45739413796285433,-0.906611316776972,-2.2325469420326005,-1.2032850202116956,-0.49803656785476136,-1.3720912544528723,-0.019343963106503548,-0.6941984193049353,-1.5440195772526604,-1.7309140325674628,-1.573276143027933,-1.242626463796185,-0.6159209675567059,0.4898750987784024
14HM97.M,5.04882557751056,-1.1232404755944618,-0.7668531750421093,-1.2125826851229349,-1.870085279490224,7.071108705350447,3.6988988605615445,3.950213288842451,8.11083097801433,0.6332048971148376,9.068872216016016,-0.13406473034642663,0.6332048971148376,2.4461358920661764,-1.2061946647055517,-1.6054215300101664,-1.0857499715139751,-1.2609893041366538,-0.912274349450221,-0.953794547616069,-0.7177753674862972,-0.8007295565973871,-1.1232404755944618,3.5447481807342864,-1.035849452307603,-0.7349923525783952,-1.6307483393077475,-1.1769380989302787,-1.77557392281779,0.6332048971148376,-1.6307483393077475,-1.1318339881592918,-0.2720552124143849,-1.870085279490224,-1.77557392281779,-1.2252832311995834,-0.9583674461369169,-0.6917341984082916,-1.77557392281779,-0.912274349450221,0.6332048971148376,0.6332048971148376,-0.09544347368716988,-0.9376011587478026,-1.2061946647055517,-1.870085279490224,6.337956190176803,5.218724614305958,-1.4646201713820595,-0.5395298384545908,-0.8755449854738038,-0.31079877266894784,-0.7463966223626473,-0.39537178723968824,0.14481774105204082,-1.870085279490224,-1.6307483393077475,-1.0857499715139751,-0.13406473034642663,-0.8007295565973871,-0.32649620849831495,-0.3832477761025561,-0.34540966534406725,4.586202055562447,8.857954159776074,0.6332048971148376,0.6332048971148376,0.6332048971148376,-1.2061946647055517,-0.6474399456484823,-0.39537178723968824,-0.8361880012700202,0.025694489140441368,-0.5776343091466909,-0.19596145981090007,0.16440098751520216,-0.0648836707963154,-0.34540966534406725,-0.31079877266894784,0.04570723491146311,0.6332048971148376,-0.6706853736851361,-0.34540966534406725,-0.3118625955705452,-0.7144576074335924,-1.2252832311995834,-0.3832477761025561,-0.2698398874830532,0.6332048971148376,0.19972028398929242,-0.1309550895323801,-1.6307483393077475,-0.32990547880810195,-0.3723598037182556,0.6332048971148376,-1.6307483393077475,-1.3405871262084277,0.6332048971148376,-0.3832477761025561,0.6332048971148376,-0.9407276290168978,-0.13101800635635974,-1.023877401682838,-0.7144576074335924,0.06005544276409691,-0.646857933559996,-0.8937702421361922,-1.698156956690436,-0.34540966534406725,0.6332048971148376,-1.870085279490224,0.6332048971148376,0.6332048971148376,0.6332048971148376,0.040745746400351335,-0.6474399456484823,0.6332048971148376,-0.09031265964047308,-0.5395298384545908,-1.8654654637102188,-0.8362035418893143,-0.1309550895323801,-1.0050097761304906,0.6332048971148376,-0.32711694098255406,-1.1769380989302787,-1.3638325542450815,-1.2061946647055517,-0.8755449854738038,-0.2488394892343242,0.6332048971148376
14HM96.M,2.2535311397804145,-1.0728921181153408,-0.716504817562988,-1.1622343276438136,-1.8197369220111028,4.994371163705615,5.6547285214425695,4.910288046495074,9.759160918815063,-0.2537526078025112,6.155503809355059,-0.2537526078025112,-0.2537526078025112,1.9658490673286335,-1.1558463072264304,4.717384380370582,-1.0354016140348539,-1.2106409466575325,-0.8619259919710998,-0.9034461901369477,-0.2537526078025112,-0.7503811991182663,-1.0728921181153408,-0.9546614186513696,2.2535311397804145,-0.6846439950992742,-1.5803999818286263,-1.1265897414511576,1.9658490673286335,-0.2537526078025112,-1.5803999818286263,-1.081485630680171,-0.2537526078025112,-1.8197369220111028,-1.7252255653386692,-1.1749348737204626,-0.9080190886577959,-0.2537526078025112,-1.7252255653386692,-0.8619259919710998,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.8872528012686811,-1.1558463072264304,-1.8197369220111028,5.549368005784744,-0.2537526078025112,-1.4142718139029382,-0.2537526078025112,-0.8251966279946825,-0.2537526078025112,-0.6960482648835264,-0.2537526078025112,-0.2537526078025112,-1.8197369220111028,2.6589962478885787,-1.0354016140348539,-0.2537526078025112,1.5603839592204691,-0.2537526078025112,4.199441288835727,-0.2537526078025112,-0.2537526078025112,8.166358241371324,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-1.1558463072264304,4.580808845364832,-0.2537526078025112,-0.7858396437908992,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-1.1749348737204626,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-1.5803999818286263,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-1.5803999818286263,-1.2902387687293064,3.506294108275782,-0.2537526078025112,-0.2537526078025112,-0.8903792715377767,-0.2537526078025112,-0.9735290442037166,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.8434218846570711,-1.6478085992113147,-0.2537526078025112,-0.2537526078025112,-1.8197369220111028,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-0.2537526078025112,-1.815117106231098,-0.7858551844101933,-0.2537526078025112,-0.9546614186513696,-0.2537526078025112,-0.2537526078025112,-1.1265897414511576,-1.3134841967659603,-1.1558463072264304,-0.8251966279946825,-0.2537526078025112,-0.2537526078025112
14HM95.M,-0.9265311272604118,-1.2917407514986126,-0.93535345094626,-1.3810829610270856,-2.038585555394375,7.655898943014382,3.318608202181891,6.00985128496772,7.013718206046464,0.17923723931172697,8.812697923248006,-0.30256500625057736,0.17923723931172697,5.190410379083483,-1.3746949406097024,-1.7739218059143171,-1.2542502474181259,-1.4294895800408045,-1.0807746253543717,4.704902563301782,-0.8862756433904484,-0.9692298325015383,-1.2917407514986126,-1.1735100520346418,-1.2043497282117541,-0.9034926284825464,-1.7992486152118987,-1.3454383748344294,-1.9440741987219412,0.036356441881645774,-1.7992486152118987,-1.3003342640634425,-0.44055548831853564,4.640364042164211,-1.9440741987219412,-1.393783507103734,-1.126867722041068,-0.8602344743124428,4.330209113860372,-1.0807746253543717,0.06113268472949307,0.8124260594126755,-0.26394374959132083,-1.1061014346519533,-1.3746949406097024,3.03092612973011,5.023356294420317,0.2947076427107891,4.12953841839822,-0.7080301143587415,-1.0440452613779545,-0.4792990485730986,-0.9148968982667984,-0.563872063143839,-0.023682534852109915,-2.038585555394375,-1.7992486152118987,-1.2542502474181259,-0.30256500625057736,-0.9692298325015383,-0.4949964844024657,4.12953841839822,-0.5139099412482184,-0.29945536543653084,8.796117232514955,0.24899201559744055,0.8124260594126755,0.1981506961574797,-1.3746949406097024,-0.815940221552633,-0.563872063143839,-1.004688277174171,-0.14280578676370936,-0.7461345850508416,-0.364461735715051,-0.004099288388948574,-0.23338394670046636,-0.5139099412482184,-0.4792990485730986,-0.12279304099268762,0.8124260594126755,-0.8391856495892869,-0.5139099412482184,-0.48036287147469636,-0.8829578833377436,-1.393783507103734,-0.5517480520067073,-0.43834016338720394,0.2805721319667476,0.031220008085141693,-0.29945536543653084,-1.7992486152118987,-0.4984057547122531,-0.5408600796224068,0.21426871976445727,-1.7992486152118987,-1.5090874021125784,0.12512993386467497,-0.5517480520067073,0.1720027454107942,-1.1092279049210485,-0.29951828226051047,-1.1923776775869888,-0.8829578833377436,-0.10844483314005382,-0.8153582094641472,-1.062270518040343,-1.8666572325945867,-0.5139099412482184,0.12512993386467497,-2.038585555394375,0.8124260594126755,0.11474632022105302,0.04072335735889787,-0.1277545295037994,-0.815940221552633,0.32173288014218615,-0.2588129355446238,-0.7080301143587415,-2.0339657396143696,-1.004703817793465,-0.29945536543653084,-1.1735100520346418,0.17923723931172697,-0.4956172168867048,-1.3454383748344294,-1.5323328301492323,-1.3746949406097024,5.693513956755563,-0.41733976513847537,0.8124260594126755
14HM94.M,8.311946512410064,7.011430657906942,6.157850054340243,2.092493028991395,4.891515008299332,4.668371456985122,1.9383423491641367,-1.9973114342800624,3.513878709922556,2.631489529724082,3.88425249821945,-0.97461819231596,-0.97461819231596,1.2451951686041915,3.99673048164614,-2.42579486535995,2.854633081038292,-2.0813626394864375,5.029384802522452,-1.774167882965853,2.2260244216159175,-1.621102891947171,6.349118397124005,-1.8253831114802748,1.5328772410559723,-1.5553656879281794,-2.4511216746575317,-1.9973114342800624,-2.5959472581675738,-0.97461819231596,3.3654587048042823,-1.952207323509076,-0.97461819231596,-2.690458614840008,5.7633539776026534,5.41444103899941,5.7187369121138465,4.917267504401747,4.395078121985441,5.014117330391664,2.919171602175863,-0.97461819231596,-0.97461819231596,-1.7579744940975863,-2.0265680000553354,-2.690458614840008,2.092493028991395,-0.97461819231596,-2.284993506731843,-0.97461819231596,-1.6959183208235875,-0.97461819231596,-1.5667699577124314,-0.97461819231596,-0.97461819231596,-2.690458614840008,-2.4511216746575317,-1.9061233068637589,-0.97461819231596,4.751753065924174,-0.97461819231596,-0.97461819231596,-0.97461819231596,-0.97461819231596,7.007246551384369,2.092493028991395,-0.97461819231596,-0.97461819231596,-2.0265680000553354,-1.4678132809982662,-0.97461819231596,-1.6565613366198042,-0.97461819231596,-0.97461819231596,-0.97461819231596,-0.97461819231596,-0.97461819231596,3.6729434045522433,-0.97461819231596,-0.97461819231596,-0.97461819231596,-1.4910587090349199,-0.97461819231596,-0.97461819231596,-1.5348309427833764,-2.045656566549367,-0.97461819231596,-0.97461819231596,-0.97461819231596,0.8397300604960272,-0.97461819231596,-2.4511216746575317,-0.97461819231596,2.979796223992298,-0.97461819231596,-2.4511216746575317,-2.1609604615582114,-0.97461819231596,-0.97461819231596,-0.97461819231596,-1.7611009643666817,1.756020792370182,-1.8442507370326218,2.919171602175863,-0.97461819231596,-1.4672312689097802,-1.7141435774859761,-2.51853029204022,-0.97461819231596,-0.97461819231596,-2.690458614840008,-0.97461819231596,-0.97461819231596,-0.97461819231596,-0.97461819231596,-1.4678132809982662,2.2260244216159175,-0.97461819231596,-0.97461819231596,-2.685838799060003,-1.6565768772390983,-0.97461819231596,1.5328772410559723,-0.97461819231596,-0.97461819231596,-1.9973114342800624,-2.1842058895948653,-2.0265680000553354,-1.6959183208235875,-0.97461819231596,-0.97461819231596
14HM93.M,8.358487457772526,5.408799122719942,6.897950869279541,-1.3608695883406159,-2.0183721827079055,7.862673663260214,3.9535118901130994,-1.3252250021479601,7.1375004559808595,0.19945061199819647,7.842412478120391,-0.28235163356410764,0.19945061199819647,-1.0238318886914848,-1.3544815679232332,-1.7537084332278474,-1.2340368747316566,-1.4092762073543348,-1.060561252667902,-1.1020814508337504,-0.8660622707039787,-0.9490164598150685,4.310186834051832,-1.153296679348172,-1.1841363555252844,-0.8832792557960767,-1.779035242525429,-1.3252250021479601,-1.9238608260354715,0.05656981456811527,-1.779035242525429,-1.2801208913769733,-0.4203421156320659,-2.0183721827079055,-1.9238608260354715,-1.3735701344172648,-1.1066543493545984,-0.8400211016259731,-1.9238608260354715,-1.060561252667902,0.08134605741596257,0.887684773330879,-0.2437303769048511,-1.0858880619654836,-1.3544815679232332,5.441588945542932,-1.3735701344172648,0.31492101539725836,-1.612907074599741,-0.6878167416722722,-1.0238318886914848,-0.45908567588662885,-0.8946835255803287,-0.5436586904573697,-0.00346916216564086,4.087043282737622,-1.779035242525429,-1.2340368747316566,-0.28235163356410764,-0.9490164598150685,-0.4747831117159964,-0.5315346793202376,-0.4936965685617487,-0.27924199275006156,8.670734437048589,0.26920538828390983,0.887684773330879,0.218364068843949,-1.3544815679232332,4.4054970138561576,-0.5436586904573697,-0.9844749044877017,-0.12259241407724009,-0.7259212123643723,-0.34424836302858175,0.016114084297520703,-0.21317057401399708,-0.4936965685617487,-0.45908567588662885,-0.10257966830621834,0.43543327807146537,-0.8189722769028176,-0.4936965685617487,4.310186834051832,-0.8627445106512739,-1.3735701344172648,-0.5315346793202376,-0.41812679070073466,0.3007855046532171,0.05143338077161097,-0.27924199275006156,-1.779035242525429,-0.4781923820257834,-0.5206467069359371,0.23448209245092655,-1.779035242525429,-1.4888740294261091,0.14534330655114425,-0.5315346793202376,0.1922161180972637,-1.0890145322345792,-0.2793049095740412,-1.172164304900519,-0.8627445106512739,-0.08823146045358454,-0.7951448367776774,-1.0420571453538736,-1.8464438599081174,-0.4936965685617487,0.14534330655114425,-2.0183721827079055,0.887684773330879,0.13495969290752252,0.06093673004536737,-0.10754115681733012,-0.7957268488661637,0.34194625282865565,-0.23859956285815453,-0.6878167416722722,-2.0137523669279003,-0.9844904451069958,-0.27924199275006156,-1.153296679348172,0.19945061199819647,-0.4754038442002355,-1.3252250021479601,-1.512119457462763,-1.3544815679232332,4.8979734989539505,-0.39712639245200565,0.887684773330879
14HM92.M,7.155477466276028,6.467365261387818,6.034175605264799,-1.453087782579174,3.8283079317725592,3.280342761057112,3.6397167619650097,2.502638192469104,6.91150720766985,2.502638192469104,8.82615345094042,1.2788627608469882,-1.453087782579174,0.3625720289728332,-1.453087782579174,3.1957853730290493,-1.453087782579174,-1.453087782579174,4.369905214205304,-1.453087782579174,-1.453087782579174,-1.453087782579174,6.466248566687743,-1.453087782579174,-1.453087782579174,-1.453087782579174,4.158061218145027,-1.453087782579174,-2.1356128276777797,-1.453087782579174,1.6153349974682012,-1.453087782579174,-1.453087782579174,-2.2301241843502138,6.654141168531154,6.659681348906768,5.813610482538533,5.137484989548019,5.006962928114206,5.33585153652532,3.9035313530101474,-1.453087782579174,-1.453087782579174,1.461184317640943,-1.453087782579174,0.3625720289728332,1.8666494257491075,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-2.2301241843502138,-1.9907872441677372,-1.453087782579174,-1.453087782579174,6.677930030495168,2.965261714417217,-1.453087782579174,-1.453087782579174,-1.453087782579174,5.643234460282149,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,1.2788627608469882,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,3.729867858959307,-1.453087782579174,-1.453087782579174,-1.9907872441677372,-1.453087782579174,5.293442354600226,-1.453087782579174,-1.9907872441677372,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,1.2788627608469882,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-2.0581958615504257,-1.453087782579174,-1.453087782579174,-2.2301241843502138,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,1.6153349974682012,0.7680371370809977,-1.453087782579174,-2.2255043685702085,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174,-1.453087782579174
14HM91.M,6.148661630044308,5.6106234427534325,3.9480757050053836,-1.7327411237206558,3.9480757050053836,5.1055284936964265,3.587062359468053,3.5426105968972195,3.090625473154162,-0.6693499785924294,4.89421940002922,-0.6693499785924294,-0.6693499785924294,9.12593600932714,4.258230633309223,-2.1255799686078873,-1.605908410111696,3.8188639735253775,3.9480757050053836,-1.4739529862137903,-1.2379338060840186,-1.3208879951951085,5.551434571363102,-1.525168214728212,2.0610060559730035,-1.2551507911761166,1.8378625046587937,-1.697096537528,1.1447153240988486,-0.6693499785924294,3.8855553480240497,-1.6519924267570132,-0.6693499785924294,-2.3902437180879454,-2.2957323614155114,4.594702869930436,-1.4785258847346383,-1.211892637006013,3.783772653714107,-1.432432788047942,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,3.2847814875951196,-1.726353103303273,1.1447153240988486,2.531009685218739,-0.6693499785924294,-1.9847786099797804,-0.6693499785924294,-1.3957034240715247,-0.6693499785924294,-1.2665550609603686,-0.6693499785924294,-0.6693499785924294,-2.3902437180879454,-2.150906777905469,2.3974782925942164,4.4028118621203305,-1.3208879951951085,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,7.295318092545128,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-1.726353103303273,2.9364747933269038,-0.6693499785924294,-1.3563464398677416,-0.6693499785924294,2.531009685218739,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-1.1908438122828575,-0.6693499785924294,-0.6693499785924294,-1.2346160460313138,-1.7454416697973048,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,2.3974782925942164,-0.6693499785924294,-2.150906777905469,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-2.150906777905469,-1.8607455648061486,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-1.4608860676146191,-0.6693499785924294,-1.5440358402805594,-1.2346160460313138,-0.6693499785924294,-1.1670163721577174,-1.4139286807339135,-2.218315395288157,-0.6693499785924294,-0.6693499785924294,-2.3902437180879454,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-1.1675983842462037,-0.6693499785924294,-0.6693499785924294,-0.6693499785924294,-2.38562390230794,-1.3563619804870357,-0.6693499785924294,-1.525168214728212,-0.6693499785924294,-0.6693499785924294,-1.697096537528,-1.8839909928428025,-1.726353103303273,-1.3957034240715247,-0.6693499785924294,-0.6693499785924294
14HM90.M,8.051297574879353,5.07980027217082,4.877563405675923,-1.8447978879370277,5.271467691383012,5.38146858659734,-1.7086101594765948,2.6088798643575593,5.02181301452047,4.28285629792923,4.645761791618599,-0.7662799331605197,1.5102675756894497,-1.5077601882878966,-1.838409867519645,1.915732683797614,-1.717965174328068,-1.8932045069507466,6.373948456829042,-1.5860097504301622,-1.3499905703003905,-1.4329447594114804,8.132338784882478,-1.6372249789445839,2.7630305441848177,-1.3672075553924885,-2.262963542121841,-1.809153301744372,-2.4077891256318833,-0.3034387002394672,-2.262963542121841,-1.764049190973385,1.915732683797614,-2.502300482304317,6.159454647094315,5.02181301452047,-1.5905826489510102,-1.323949401222385,3.11970548812355,4.927994259302816,1.915732683797614,-0.3034387002394672,2.6088798643575593,-1.5698163615618954,-1.838409867519645,1.5102675756894497,3.5897091173692854,-0.3034387002394672,-2.0968353741961527,-1.1717450412686838,-1.5077601882878966,-0.9430139754830409,-1.3786118251767405,-1.0275869900537813,-0.3034387002394672,-2.502300482304317,-2.262963542121841,-1.717965174328068,-0.7662799331605197,5.544508213841845,-0.958711411312408,-1.0154629789166496,-0.9776248681581605,-0.7631702923464732,7.460910128277177,-0.3034387002394672,-0.3034387002394672,-0.3034387002394672,-1.838409867519645,-1.2796551484625756,-1.0275869900537813,-1.4684032040841135,-0.3034387002394672,-1.2098495119607842,-0.8281766626249933,-0.3034387002394672,-0.3034387002394672,-0.9776248681581605,-0.9430139754830409,-0.3034387002394672,-0.3034387002394672,-1.3029005764992294,-0.9776248681581605,-0.9440777983846387,-1.3466728102476857,-1.8574984340136766,-1.0154629789166496,-0.9020550902971465,3.014344972465724,-0.3034387002394672,-0.7631702923464732,-2.262963542121841,-0.9621206816221952,5.629304750501921,-0.3034387002394672,-2.262963542121841,-1.972802329022521,-0.3034387002394672,-1.0154629789166496,-0.3034387002394672,-1.572942831830991,-0.763233209170453,-1.6560926044969309,2.426558307563605,-0.3034387002394672,-1.2790731363740893,-1.5259854449502854,-2.3303721595045293,-0.9776248681581605,-0.3034387002394672,-2.502300482304317,-0.3034387002394672,-0.3034387002394672,-0.3034387002394672,-0.3034387002394672,-1.2796551484625756,-0.3034387002394672,-0.3034387002394672,-1.1717450412686838,-2.497680666524312,-1.4684187447034076,-0.7631702923464732,-1.6372249789445839,-0.3034387002394672,0.8171203951295043,-1.809153301744372,-1.9960477570591744,-1.838409867519645,-1.5077601882878966,-0.8810546920484177,-0.3034387002394672
14HM89.M,8.085118530777752,-1.8984742674595902,5.787602443287003,-1.9878164769880633,5.287950120119138,4.594802939559193,-1.8516287485276304,4.2693805391245645,4.216736805639142,3.313869094097128,6.853861767503347,-0.5148122530929563,-0.5148122530929563,-1.6507787773389322,-1.9814284565706801,3.4961906508910823,-1.8609837633791035,-2.036223096001782,5.693415228227302,-1.7290283394811974,-1.493009159351426,-1.575963348462516,7.027441160801436,-1.7802435679956194,-1.8110832441727314,-1.510226144443524,-2.405982131172876,-1.952171890795407,-2.5508077146829184,-0.5148122530929563,3.244876222610176,-1.9070677800244207,3.1707682504564545,-2.6453190713553525,6.056857346560618,5.1907863716654905,-1.7336012380020454,-1.4669679902734205,-2.5508077146829184,-1.6875081413153494,-0.5148122530929563,-0.5148122530929563,4.412481382765238,-1.712834950612931,-1.9814284565706801,-2.6453190713553525,2.9084039859889637,3.090725542782918,-2.239853963247188,-1.3147636303197192,-1.6507787773389322,-1.0860325645340763,-1.5216304142277761,-1.1706055791048167,3.6503413307183408,4.294698347108854,-2.405982131172876,-1.8609837633791035,-0.5148122530929563,5.6230987298098425,-1.1017300003634434,-1.158481567967685,-1.1206434572091957,3.4961906508910823,7.292927500861433,-0.5148122530929563,3.6503413307183408,-0.5148122530929563,-1.9814284565706801,-1.4226737375136107,-1.1706055791048167,-1.6114217931351487,-0.5148122530929563,-1.3528681010118193,-0.9711952516760286,-0.5148122530929563,-0.5148122530929563,-1.1206434572091957,-1.0860325645340763,-0.5148122530929563,3.439032237051134,-1.4459191655502646,-1.1206434572091957,-1.087096387435674,-1.4896913992987213,-2.000517023064712,-1.158481567967685,-1.0450736793481816,-0.5148122530929563,-0.5148122530929563,-0.5148122530929563,-2.405982131172876,-1.1051392706732304,5.889022621732907,-0.5148122530929563,-2.405982131172876,-2.115820918073556,-0.5148122530929563,-1.158481567967685,-0.5148122530929563,-1.7159614208820262,-0.5148122530929563,-1.7991111935479664,3.696861346353234,-0.5148122530929563,-1.4220917254251249,-1.6690040340013206,-2.4733907485555644,4.57611080654704,-0.5148122530929563,5.127607470043959,-0.5148122530929563,-0.5148122530929563,-0.5148122530929563,-0.5148122530929563,-1.4226737375136107,-0.5148122530929563,-0.5148122530929563,-1.3147636303197192,-2.6406992555753477,-1.6114373337544428,-0.5148122530929563,-1.7802435679956194,-0.5148122530929563,-1.1023507328476825,-1.952171890795407,-2.13906634611021,-1.9814284565706801,-1.6507787773389322,-1.0240732810994526,-0.5148122530929563
