from,to,correlation,column,p,Direction,padj,sig,direction,weight
AU,Enterococcus,0.5314685314685315,z6DDL,0.07536233505348378,1,0.9707957094232275,3,pos,0.5314685314685315
AU,Lactobacillus,-0.337712096332786,z6DDL,0.0788181804985506,-1,0.9707957094232275,3,neg,0.337712096332786
AU,Veillonella,-0.3068559347629115,z6DDL,0.045341619549043255,-1,0.9707957094232275,2,neg,0.3068559347629115
US,Abiotrophia,-0.22618697787666345,z6DDL,0.03976911018033791,-1,0.23861466108202745,2,neg,0.22618697787666345
US,Actinomyces,-0.22271816384941592,z6DDL,5.675045962298952e-4,-1,0.010215082732138114,1,neg,0.22271816384941592
US,Anaerococcus,0.289738430583501,z6DDL,0.014251380528266022,1,0.11660220432217654,2,pos,0.289738430583501
US,Campylobacter,0.31476886666412185,z6DDL,0.008939849112115539,1,0.08477036998687844,2,pos,0.31476886666412185
US,Corynebacterium,0.11139669956354316,z6DDL,0.04751297741544391,1,0.2529393760028905,2,pos,0.11139669956354316
US,Haemophilus,-0.15513743514246217,z6DDL,0.02194619207019466,-1,0.15193517587057842,2,neg,0.15513743514246217
US,Lactobacillales,-0.2139308060360692,z6DDL,0.0019172399640146054,-1,0.03045028178140844,1,neg,0.2139308060360692
US,Meiothermus,0.11829477232522183,z6DDL,0.09116131896367641,1,0.35695242434523755,3,pos,0.11829477232522183
US,Neisseria,-0.1334902955396314,z6DDL,0.06930442324396457,-1,0.31715583518424467,3,neg,0.1334902955396314
US,Rothia,-0.14323676195913881,z6DDL,0.016079974367538608,-1,0.12404551654958354,2,neg,0.14323676195913881
US,Staphylococcus,0.24321012610514892,z6DDL,3.4052190422961814e-7,1,1.838818282839938e-5,1,pos,0.24321012610514892
US,Streptococcus,-0.13618358325387883,z6DDL,0.00539874136357632,-1,0.06625728037116393,2,neg,0.13618358325387883
US,Veillonella,-0.20675677014203928,z6DDL,9.32147490035895e-5,-1,0.002743903485197041,1,neg,0.20675677014203928
US,Yersiniaceae,-0.27482499351827844,z6DDL,0.03855189517888635,-1,0.23656844768862081,2,neg,0.27482499351827844
ES,Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium,0.23793103448275862,z6DDL,0.06957972721155348,1,0.9375730845932225,3,pos,0.23793103448275862
ES,Brevundimonas,0.25902980713033313,z6DDL,0.04758806115561076,1,0.9375730845932225,2,pos,0.25902980713033313
ES,Empedobacter,0.447165991902834,z6DDL,0.0043165001729073005,1,0.5467566885682581,2,pos,0.447165991902834
ES,Enterobacter,0.2135653461680859,z6DDL,0.06769641523794778,1,0.9375730845932225,3,pos,0.2135653461680859
ES,Finegoldia,0.2726487819919827,z6DDL,0.06677184743966547,1,0.9375730845932225,3,pos,0.2726487819919827
ES,Flavobacterium,0.3497536945812808,z6DDL,0.06290474445057326,1,0.9375730845932225,3,pos,0.3497536945812808
ES,Haemophilus,0.22190847127555988,z6DDL,0.04935548082572949,1,0.9375730845932225,2,pos,0.22190847127555988
ES,Leptotrichia,-0.4052631578947368,z6DDL,0.08519044298371403,-1,0.9663393532480995,3,neg,0.4052631578947368
ES,Muribaculaceae,-0.510989010989011,z6DDL,0.07432891414402132,-1,0.9375730845932225,3,neg,0.510989010989011
ES,Neisseria,0.22057298418459942,z6DDL,0.09919429726359574,1,0.9811195827300546,3,pos,0.22057298418459942
ES,Paracoccus,-0.2714027149321267,z6DDL,0.05404406842966836,-1,0.9375730845932225,3,neg,0.2714027149321267
ES,Ralstonia,-0.16543654365436544,z6DDL,0.09998596746386701,-1,0.9811195827300546,3,neg,0.16543654365436544
ES,Rhodococcus,-0.5098814229249012,z6DDL,0.015342627496744754,-1,0.9375730845932225,2,neg,0.5098814229249012
ES,Roseomonas,0.42086956521739133,z6DDL,0.04055960072223441,1,0.9375730845932225,2,pos,0.42086956521739133
ES,Rothia,-0.25517741335057503,z6DDL,0.007986518812690857,-1,0.7587192872056314,2,neg,0.25517741335057503
ES,Sphingobium,0.29148301788955144,z6DDL,0.02781349687092005,1,0.9375730845932225,2,pos,0.29148301788955144
ES,Turicibacter,-0.8681318681318682,z6DDL,1.1910255980041029e-4,-1,0.0566554416604248,2,neg,0.8681318681318682
Extra,Turicibacter,0.8681318681318682,z6DDL,1.1910255980041029e-4,-1,0.0566554416604248,2,pos,0.8681318681318682
Extra,Enterococcus,-0.5314685314685315,z6DDL,0.07536233505348378,1,0.9707957094232275,3,neg,0.5314685314685315
Extra,Muribaculaceae,0.510989010989011,z6DDL,0.07432891414402132,-1,0.9375730845932225,3,pos,0.510989010989011
